canonical_smiles,pchembl_median,affinity_nm
C#CCN1C(=O)N(CC#C)[C@H](Cc2ccccc2)[C@@H]2OC(C)(C)O[C@H]2[C@H]1Cc1ccccc1,7.66,21.877616239495516
C#CCN1C(=O)N(CC#C)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,7.66,21.877616239495516
C/C(=C\C(=O)N(C)[C@@H](Cc1ccccc1)[C@H](O)CN(Cc1cccs1)S(=O)(=O)c1cc(F)c(F)cc1F)C(F)(F)F,7.28,52.48074602497723
C/C(=N/O)c1cccc(CN2C(=O)N(Cc3cccc(/C(C)=N/O)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,10.74,0.018197008586099826
C/C(=N/O)c1cccc(CN2[C@H](COc3ccccc3)[C@H](O)[C@@H](O)[C@@H](COc3ccccc3)N(Cc3cccc(/C(C)=N\O)c3)S2(=O)=O)c1,8.47,3.3884415613920202
C/C(=N\O)c1cccc(CN2[C@H](COc3ccccc3)[C@H](O)[C@@H](O)[C@@H](COc3ccccc3)N(Cc3cccc(/C(C)=N/O)c3)S2(=O)=O)c1,8.36,4.3651583224016655
C/C(=N\O)c1cccc(COC(=O)CCCC[C@@H]2SCC3C2N(Cc2cccc(/C(C)=N/O)c2)C(=O)N3Cc2cccc(/C(C)=N/O)c2)c1,5.57,2691.534803926914
C/C=C/C/C=C/CCC(=O)[C@H]1O[C@H]1C(N)=O,5.6,2511.886431509582
C/C=C/CNC(=O)c1cccc(CN2C(=O)N(Cc3cccc(C(=O)NC/C=C/C)c3)[C@H](Cc3ccccc3)[C@H](O)[C@@H](O)[C@H]2Cc2ccccc2)c1,9.14,0.7244359600749891
C=C(C)CN1C(=O)N(CC(=C)C)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,8.14,7.244359600749891
C=C(C)N1C(=O)N(C(=C)C)[C@H](Cc2ccccc2)[C@H](O)[C@@H](O)[C@H]1Cc1ccccc1,8.74,1.8197008586099825
C=C(C)[C@H]1CC[C@]2(C)[C@H]3CC[C@@H]4[C@@]5(C)C[C@H](OC(C)=O)C[C@](C)(C(=O)O)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@H]12,5.77,1698.243652461746
